lirik;emosi;judul;penyanyi
do do do do do (Re) - re re re re re re (Mi) - mi mi mi mi (Fa) - fa fa fa fa fa fa doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini A-du-du-duh-duh aku percaya Kali ini kau pasti bisa yeah Ku-ku-kutanya ada yang salah Jelas ini luar biasa Hal yang baik tidak mudah Tak seperti kau bicara Mereka mengerti Ini terlalu jadi masalah Ketika kau mulai bisa Terbiasa untuk dapat menikmati Hari-hari tanpaku di sini doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini Hal yang baik tidak mudah Tak seperti kau bicara Mereka mengerti Ini terlalu jadi masalah Ketika kau mulai bisa Terbiasa untuk dapat menikmati Hari-hari tanpaku di sini doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini Everybody sings it! doakan 'ku harus pergi (Re) - relakan aku di sini (Mi) - misalnya aku 'kan pulang (Fa) - fastikan kau tetap menunggu (Sol) - soal cinta luar biasa (La) - lama-lama bisa gila (Si) - siapa yang tahu pasti (Do) - doakan aku di sini Doakan 'ku harus pergi Relakan aku di sini Misalnya aku 'kan pulang Fa-fa-fastikan kau yang menunggu Soal cinta luar biasa Lama-lama bisa gila Siapa yang tahu pasti Doakan aku di sini;santai;Doremi;Budi Doremi
Aku mengerti perjalanan hidup yang kini kau lalui Ku berharap meski berat kau tak merasa sendiri Kau telah berjuang menaklukankan hari-hari mu yang tak mudah Biar ku menemanimu membasuh lelah mu Izinkan ku lukis senja Mengukir namamu di sana Mendengar kamu bercerita Menangis tertawa Biar ku lukis malam Bawa kamu bintang-bintang Tuk temanimu yang terluka Hingga kau bahagia Aku disini walau letih coba lagi jangan berhenti Ku berharap meski berat kau tak merasa sendiri Kau telah berjuang menaklukankan hari-hari mu yang tak indah Biar ku menemanimu membasuh lelah mu Izinkan ku lukis senja Mengukir namamu di sana Mendengar kamu bercerita Menangis tertawa Biar ku lukis malam Bawa kamu bintang-bintang Tuk temanimu yang terluka Hingga kau bahagia hah Izinkan ku lukis senja Mengukir namamu di sana Mendengar kamu bercerita Menangis tertawa Biar ku lukis malam Bawa kamu bintang-bintang Tuk temanimu yang terluka Hingga kau bahagia Tuk temanimu yang terluka Hingga kau bahagia;sedih;Melukis Senja;Budi Doremi
Mungkin inilah waktunya Mungkin inilah saatnya Aku mengerti rasa sesal Saat ada yang pergi menghilang Kau datang mengukir luka Yang sayang 'tuk dilupakan Kau pergi tanpa mengajarkan Cara 'tuk merelakanmu Usai sudah semua cerita Yang t'lah kita ukir berdua Meninggalkan dirimu adalah Hal terberat yang harus kujalani Aku memang kehilangan Kamu yang sangat kucintai Namun, kau telah kehilangan Aku yang sangat mencintaimu uh-oh Ku akan terus belajar 'tuk melupakan kamu Yang begitu mudah melupakanku Ho-oh Usai sudah semua cerita Yang t'lah kita ukir berdua Meninggalkan dirimu adalah Hal terberat yang harus kujalani Aku memang kehilangan Kamu yang sangat kucintai Namun, kau telah kehilangan Aku yang sangat mencintaimu oh-ho(Yang t'lah kita ukir berdua) uh-oh-uh-oh Meninggalkan dirimu adalah Hal terberat yang harus kujalani Aku memang kehilangan Kamu yang sangat kucintai Namun, kau telah kehilangan Aku yang sangat mencintaimu, hu-oh Aku yang sangat mencintaimu;sedih;Usai;Tiara Andini
Sakit rasanya putus cinta Sesaknya di dada Membuat kita jadi gegana Gelisah galau merana Mendingan kita happy aja Lupakan semua Marilah kita goyang bersama Goyang dumang  namanyaAyo goyang dumang Biar hati senang Pikiranpun tenang Galau jadi hilang Ayo goyang dumang Biar hati senang Semua masalah jadi hilang Ayo goyang dumang Biar hati senang Pikiranpun tenang Galau jadi hilang Ayo goyang dumang Biar hati senang Semua masalah jadi hilang Ayo goyang dumang Ayo goyang dumang Ayo goyang dumang Ayo goyang dumang Sakit rasanya putus cinta Sesaknya di dada Membuat kita jadi gegana Gelisah galau merana Mendingan kita happy aja Lupakan semua Marilah kita goyang bersama Goyang dumang namanya Ayo goyang dumang Biar hati senang Pikiranpun tenang Galau jadi  Hilang Ayo goyang dumang Biar hati senang Semua masalah jadi hilang Ayo goyang dumang Biar hati senang Pikiranpun tenang Galau jadi hilang Ayo goyang dumang Biar hati senang Semua masalah jadi hilang Ayo goyang dumang;bersemangat;Goyang Dumai;Cita Citata
Kau dan aku tercipta oleh waktu Hanya untuk saling mencintai Mungkin kita ditakdirkan bersama Merajut kasih, menjalin cinta Berada di pelukanmu, mengajarkanku Apa artinya kenyamanan, kesempurnaan cinta Berdua bersamamu, mengajarkanku Apa artinya kenyamanan, kesempurnaan cinta Kau dan aku (kau dan aku) tercipta oleh waktu Hanya untuk saling mencintai Mungkin kita ditakdirkan bersama Merajut kasih, menjalin cinta Berada di pelukanmu, mengajarkanku Apa artinya kenyamanan, kesempurnaan cinta Berdua bersamamu, mengajarkanku Apa artinya kenyamanan, kesempurnaan cinta Tak pernah terbayangkan olehku (tak terbayangkan olehku) Bila kautinggalkan aku Hancurlah hatiku Musnah harapanku, Sayang, ha-ah-ah Berada di pelukanmu, mengajarkanku Apa artinya kenyamanan, kesempurnaan cinta Berada di pelukanmu, mengajarkanku Apa artinya kenyamanan, kesempurnaan cinta Berdua bersamamu, mengajarkanku Apa artinya kenyamanan, kesempurnaan cinta Hu-hu-uh Ho-ho-oh Ho-ho-ho-oh;romantis;Kesempurnaan Cinta;Rizky Febian
Aku kesal dengan jarak Yang sering memisahkan kita Hingga aku hanya bias Berbincang denganmu di whatsapp Aku kesal dengan waktu Yang tak pernah berhenti bergerak Barang sejenak agar ku bias Menikmati tawamu Ingin ku berdiri di sebelahmu Menggenggam erat jari-jarimu Mendengarkan lagu sheila on 7 Seperti waktu itu saat kau di sisiku Dan tunggulah ku di sana Memecahkan celengan rinduku Berboncengan denganmu mengelilingi kota Menikmati surya perlahan menghilang Hingga kejamnya waktu Menarik paksa kau dari pelukku Lalu kita kembali menabung rasa rindu Saling mengirim doa sampai nanti sayangku Jangan matikan hapemu Kau tahu aku benci khawatir Saat kau tak mengabari Aku tak suka bertanya Tanya Ingin ku bakar dia yang sering Mention mentionan denganmu di twitter Namun kau selalu menyakinkanku Ku tumbukan rasa percaya Bukan rasa curiga Dan tunggulah ku di sana Memecahkan celengan rinduku Berboncengan denganmu mengelilingi kota Menikmati surya perlahan menghilang Hingga kejamnya waktu Menarik paksa kau dari pelukku Lalu kita kembali menabung rasa rindu Saling mengirim doa sampai nanti sayangku Paparapa paparapa paparapaparapapa Paparapa pararararararara hingga kita bertemu;romantis;Celengan Rindu;Fiersa Besari
Masa-masa naik bis kota Dengan wajah yang sama Terbesit bisikan di kepala Keraguan yang kau rasa Asam garam ku rasakan Liar kucing terbengkalai Halte tua tak beralaskan Melihat tubuhnya terkulai Birama kehidupan mu sedang kacau Adakalanya berhenti bersandiwara Tak sekalipun ku meragukan mu Kau pemeran utama di sebuah opera Masa-masa naik bis kota Dengan wajah yang sama Terbesit bisikan di kepala Keraguan yang kau rasa Asam garam ku rasakan Liar kucing terbengkalai Halte tua tak beralaskan Melihat tubuhnya terkulai Birama kehidupan mu sedang kacau Adakalanya berhenti bersandiwara Tak sekalipun ku meragukan mu Kau pemeran utama di sebuah opera Masa-masa naik bis kota Dengan wajah yang sama Terbesit bisikan di kepala Keraguan yang kau rasa Asam garam ku rasakan Liar kucing terbengkalai Halte tua tak beralaskan Melihat tubuhnya terkulai Birama kehidupan mu sedang kacau Adakalanya tersenyum bersandiwara Tak sekalipun ku meragukan mu Kau pemeran utama di sebuah opera Kau pemeran utama di sebuah opera;romantis;Kau Pemeran Utama Di Sebuah Opera;The Jansen
Merangkai langit dan samuderanya Cahaya lama mu, kau bercanda Rasi dan bintang nya Seratus juta tahun terlewatkan Ku ingin melukis semesta Menuju garis tak terhingga Ku ingin merubah dimensi Mengorbit melintas galaksi Langit tak seharusnya biru Putih tak seharusnya cahaya Ramalan dan mesin waktu Seratus kata aku percaya, aku percaya Merangkai langit dan samuderanya Cahaya lama mu, kau bercanda Rasi dan bintang nya Seratus juta tahun terlewatkan Ku ingin melukis semesta Menuju garis tak terhingga Ku ingin merubah dimensi Mengorbit melintas galaksi Langit tak seharusnya biru Putih tak seharusnya cahaya Ramalan dan mesin waktu Seratus kata aku percaya, aku percaya Merangkai langit dan samuderanya Cahaya lama mu, kau bercanda Rasi dan bintang nya Seratus juta tahun terlewatkan Ku ingin melukis semesta Menuju garis tak terhingga Ku ingin merubah dimensi Mengorbit melintas galaksi Langit tak seharusnya biru Putih tak seharusnya cahaya Ramalan dan mesin waktu Seratus kata aku percaya, aku percaya;santai;Langit Tak Seharusnya Biru;The Jansen
Ayah disini ku sendirian Merenungi kata yang dulu kau berikan Betapa beratnya hidup ku rasakan Ingin ku bertemu katakana Ayah tolong beritahu Ibu Ingin memeluknya tapi aku malu Malu jika ku hanya bisa mengeluh Maafkan aku Ayah Ibu Suatu saat nanti kan ku gantikan tugasmu Ayah Doakan aku Ibu, restumu sertai langkahku Ayah dengarkanlah bahagia pasti datang percayalah Ibu engkau kuatkan aku Ibu jangan khawatirkan aku Ku bukan si kecil yang slalu dimanja Ibu Aku si pemberani harapan Ibu Ibu tolong percaya Ayah katakan pada Ibu Ku bisa melewati semua pahitku Meskipun kenyataannya Ayah tahu Ayah engkau penyelamatku Suatu saat nanti kan ku gantikan tugasmu Ayah Doakan aku Ibu, restumu sertai langkahku Ayah dengarkanlah bahagia pasti datang percayalah Ibu engkau kuatkan aku Suatu saat nanti kan ku gantikan tugasmu Ayah Doakan aku Ibu, restumu sertai langkahku Ayah dengarkanlah bahagia pasti datang percayalah Ayah engkau penyelamatku Ibu engkau kuatkan aku;sedih;Ayah Ibu;Karna Mereka
"Inilah Radio Revolusi Indonesia Mempersembahkan sebuah langgam nostalgia Andai ku malaikat, kupotong sayapku Dan rasakan perih di dunia bersamamu Perang 'kan berakhir, cinta 'kan abadi Di tanah anarki, romansa terjadi Desing peluru tak bertuan Hari-hari yang tak benderang Setiap detik nyawa ini Kupertahankan untukmu Alasanku ada di sini Dan parasmu yang kurindukan Di neraka 'kan kumenangkan Hariku bersamamu Andai ku malaikat, kupotong sayapku Dan rasakan perih di dunia bersamamu Perang 'kan berakhir, cinta 'kan abadi Di tanah anarki, romansa terjadi Dalam gelisah, ku menunggu (ha-ah) Berita tentang gerilyamu (ha-ah) Semerbak rindu kuasai Udara panas ini Sepucuk surat telah tiba Dan senja pun ikut berdebar Kalimat indah dan kisahmu Tentang perang dan cinta Andai ku malaikat, kupotong sayapku Dan rasakan perih di dunia bersamamu Perang 'kan berakhir, cinta 'kan abadi Di tanah anarki, romansa terjadi Kubasuh luka dengan air mata Oh, hatimu beku serta jiwamu yang lelah Tak henti lawan dunia Dengan mimpi besar untuk cinta Dan jalan untuk pulang Di ujung waktu 'kan ada cahaya Itulah aku Raihlah mimpimi Andai ku malaikat, kupotong sayapku Dan rasakan perih di dunia bersamamu Perang 'kan berakhir, cinta 'kan abadi Di tanah anarki, romansa terjadi Andai ku malaikat, kupotong sayapku Dan rasakan perih di dunia bersamamu Perang 'kan berakhir, cinta 'kan abadi Di tanah anarki, romansa terjadi Itulah aku Raihlah mimpimu;romantis;Sunset Di Tanah Anarki;Superman Is Dead

";romantis;Sunset Di Tanah Anarki;Superman Is Dead
Teringat masa kecilku Kau peluk dan kau manja Indahnya saat itu Buatku melambung Di sisimu terngiang Hangat napas segar harum tubuhmu Kau tuturkan segala Mimpi-mimpi serta harapanmu Kau ingin ku menjadi Yang terbaik bagimu Patuhi perintahmu Jauhkan godaan Yang mungkin kulakukan Dalam waktu ku beranjak dewasa Jangan sampai membuatku Terbelenggu, jatuh, dan terinjak Tuhan, tolonglah Sampaikan sejuta sayangku untuknya Ku t'rus berjanji Takkan khianati pintanya Ayah, dengarlah Betapa sesungguhnya ku mencintaimu 'Kan kubuktikan Ku mampu penuhi maumu Andaikan detik itu 'Kan bergulir kembali Kurindukan suasana Basuh jiwaku Membahagiakan aku Yang haus akan kasih dan sayangmu 'Tuk wujudkan segala Sesuatu yang pernah terlewati;romantis;Yang Terbaik Untukmu;Ada Band
Sudah jangan ke jatinangor Ia sudah ada yang punya Lebih baik diam disini Temani aa bernyanyi disini Demi cinta engkau berikan Buku buku dan cindera mata Demi cinta engkau praktekan Buku taktik menguasai wanita Ini asmara itu asrama In harmonia progression Sudah jangan ke jatinangor Masih ada kota lainnya Perempuan tak cuma dia Ada tiga milyar dua puluh satu Ini asmara itu asrama In harmonia progression;romantis;Sudah Jangan Ke Jatinangor;Pidi Baiq
Jangan tanyakan perasaanku Jika kau pun tak bisa beralih Dari masa lalu yang menghantuimu Karena sungguh ini tidak adil Bukan maksudku menyakitimu Namun tak mudah 'tuk melupakan Cerita panjang yang pernah aku lalui Tolong yakinkan saja raguku Pergi saja, engkau pergi dariku Biar kubunuh perasaan untukmu Meski berat melangkah Hatiku hanya tak siap terluka Beri kisah kita sedikit waktu Semesta mengirim dirimu untukku Kita adalah rasa yang tepat;sedih;Waktu Yang Salah;Fiersa Besari
Hei gadis bermata cokelat Di hatiku kau acrobat Jantungku berdegup cepat Setiap senyummu terlihat Kau bagai sebuah candu Membuatku selalu rindu Ku menggubah nada syahdu Maaf bila kurang merdu Begini liriknya Kau ingin diet Tapi kubilang aku saja yang menggemukkan badan;romantis;Bukan Lagu Valentine;Fiersa Besari
Bolehkah kita mengulang Masa-masa indah itu? 'Ku tak mengerti apa yang terjadi hingga berakhir Bagaimanakah kabarmu? Berhasilkah lupakanku? Diriku yang bodoh ini masih mendamba hadirmu Waktu kau sedih 'ku di sini Waktu kau senang kau di mana? Sebelum dirimu pergi Dan janjimu hilang arti Lihatlah perjuanganku Namun jika memang harus Berakhir sampai di sini Biar 'ku berharap dengan Hati yang keras kepala Aku rindu kau yang dulu Dan obrolan kecil kita Kini bagai dua orang asing tidak saling Tanya;sedih;Nadir;Fiersa Besari
Yang tak bisa terobati Biarlah Mengering sendiri Menghias tubuh dan Yang mengevaluasi Ragamu Hanya kau sendiri Mereka tak mampu Melewat yang telah kau lewati Tiap berganti hari Rintangan yang kau hadapi Masalah yang mengeruh Perasaan yang rapuh Ini belum separuhnya Biasa saja Kamu tak apa Yang selalu ingin ambil peran Hanya berlomba menjadi lebih Sedih dari dirimu Muak dikesampingkan Disamakan Hatimu terluka, sempurna Masalah yang mengeruh Perasaan yang rapuh Ini belum separuhnya Biasa saja Kamu tak apa Perjalanan yang jauh Kau bangun untuk bertaruh Hari belum selesai Biasa saja Kamu tak apa Bilas muka, gosok gigi, evaluasi Tidur sejenak menemui esok pagi Walau pedih 'ku bersamamu kali ini 'Ku masih ingin melihatmu esok hari;bersemangat;Evaluasi;Hindia
Menyesal tak kusampaikan Cinta monyetku ke Kanya dan Rebecca Apa kabar kalian di sana Semoga hidup baik-baik saja Tak belajar terkena getahnya Saat bersama Thanya dan Saphira Kupercaya mungkin bukan jalannya Namun kalian banyak salah juga Jika dahulu ku tak cepat berubah Ini maafku untukmu Sharfina Segala doa yang baik adanya Untukmu dan mimpimu yang mulia Pindah berkala rumah ke rumah Berharap bisa berujung indah Walau akhirnya harus berpisah Trima kasih karna ku tak mudah Pindah berkala rumah ke rumah Berharap bias berujung indah Walau akhirnya harus berpisah Trima kasih karna ku tak mudah;santai;Rumah ke Rumah;Hindia
Alarm jam delapan pagi Karena jam sepuluh kau isi absensi Kau bangunkan aku setiap hari Rute yang sama, ulangi lagi Makan malam bersama di Gancy Hanya bersama di lima hari Sering berpisah, di akhir pecan Kau dengan teman-teman Aku bermain peran Mulai mempertanyakan Siapa yang salah benar Dulu bersama, berburu property Dulu antar jemput, sekarang pulang sendiri Di kehidupan, kita singgah dan pergi Apapun yang terjadi, kita abadi Di masa lalu, didalam buku Dalam sejarah, kita masih indah Walau parau perih di lagu yang lain Di melodi ini bersyukur pernah terjadi Taman yang luas, seekor corgi Kita beri nama Gimli Ku antar jemput anak setiap pagi Di kehidupan yang lain Ukuran sepatumu Pantangan dan dietmu Masih berguna Di masa lalu;santai;Apapun Yang Terjadi;Hindia
Kapan terakhir kali kamu dapat tertidur tenang (renggang) Tak perlu memikirkan tentang apa yang akan datang di esok hari Tubuh yang berpatah hati bergantung pada gaji Berlomba jadi asri mengais validasi Dan aku pun terhadir Seakan paling mahir Menenangkan dirimu Yang merasa terpinggirkan dunia Tak pernah adil Kita semua gagal Angkat minumanmu Bersedih bersama sama Ah ah ah ah Sia-sia pada akhirnya Putus asa terekam pedih semua Masalahnya lebih dari yang secukupnya Rekam gambar dirimu yang terabadikan bertahun silam Putra putri sakit hati Ayah Ibu sendiri Komitmen lama mati hubungan yang menyepi;bersemangat;Secukupnya;Hindia
Cantik Ingin rasa hati berbisik Untuk melepas keresahan Dirimu O cantic Bukan kuingin mengganggumu Tapi apa arti merindu Selalu (ow) Walau mentari terbit di utara Hatiku hanya untukmu Ada hati yang termanis dan penuh cinta Tentu saja kan kubalas seisi jiwa Tiada lagi Tiada lagi yang ganggu kita Ini kesungguhan Sungguh aku sayang kamu Cantik Bukan kuingin mengganggumu Tapi apa arti merindu Selalu (ow) Walau mentari terbit di utara Hatiku hanya untukmu Ada hati yang termanis dan penuh cinta Tentu saja kan kubalas seisi jiwa Tiada lagi Tiada lagi yang ganggu kita Ini kesungguhan Sungguh aku sayang kamu Ingin ku berjalan menyusuri cinta Cinta yang abadi untukmu selamanya;romantis;Cantik;Kahitna
Tak pernah kusangka ini terjadi Kisah cinta yang suci ini Kau tinggalkan begitu saja Sekian lamanya kita berdua Tak kusangka begitu cepat berlalu Tuk mencari kesombongan diri Lupa segala yang pernah kau ucapkan Kau tinggalkan daku Pergilah kasih kejarlah keinginanmu Selagi masih ada waktu Jangan hiraukan diriku Aku rela berpisah demi untuk dirimu Semoga tercapai segala keinginanmu Tak kusangka begitu cepat berlalu Tuk mencari kesombongan diri Lupa segala yang pernah kau ucapkan Kau tinggalkan daku Pergilah kasih kejarlah keinginanmu Selagi masih ada waktu Jangan hiraukan diriku Aku rela berpisah demi untuk dirimu Semoga tercapai segala keinginanmu;sedih;Pergilah Kasih;Chrisye
Wo-wo-wo-wo Ah-ya-ya-ya-ya, ya-ya Wo-wo-wo-wo Ah-ya-ya-ya-ya, ya-ya Bukan aku tak tertarik Dengan kata rayuanmu Saat matamu melirik Aku jadi suka padamu Tiap kali kau bermanja Gemetar rasa di dada Ingin kubisikkan cinta Tapi hati ini malu jadinya Engkau masih anak sekolah, satu SMA Belum tepat waktu 'tuk begitu-begini Anak sekolah datang kembali Dua atau tiga tahun lagi Wo-wo-ah-ya, ya-ya Wo-wo-wo-wo Ah-ya-ya-ya-ya, ya-ya Bukan aku tak tertarik Dengan kata rayuanmu Saat matamu melirik Aku jadi suka padamu Tiap kali kau bermanja Gemetar rasa di dada Ingin kubisikkan cinta Tapi hati ini malu jadinya Engkau masih anak sekolah, satu SMA Belum tepat waktu 'tuk begitu-begini Anak sekolah datang kembali Dua atau tiga tahun lagi;bersemangat;Anak Sekolah;Chrisye
"Resah dan gelisah Menunggu di sini Di sudut sekolah Tempat yang kau janjikan Ingin jumpa denganku Walau mencuri waktu Berdusta pada guru Malu aku malu Pada semut merah Yang berbaris di dinding Menatapku curiga Seakan penuh tanya ""Sedang apa di sini?"" ""Menanti pacar, "" jawabku Sungguh aneh tapi nyata Takkan terlupa Kisah-kasih di sekolah Dengan si dia Tiada masa paling indah Masa-masa di sekolah Tiada kisah paling indah Kisah-kasih di sekolah";santai;Kisah Kasih Disekolah;Chrisye
Andai aku bias Memutar kembali Waktu yang t'lah berjalan 'Tuk kembali bersama Di dirimu s'lamanya Bukan maksud aku Membawa dirimu Masuk terlalu jauh Ke dalam kisah cinta Yang tak mungkin terjadi Dan aku tak punya hati Untuk menyakiti dirimu Dan aku tak punya hati 'tuk mencintai Dirimu yang s'lalu mencintai diriku Walau kau tahu diriku masih bersamanya;sedih;Andai Aku Bisa;Chrisye
Begini nasib jadi bujangan Ke mana mana asalkan suka Tiada orang yang melarang Hati senang walaupun tak punya uang Hati senang walaupun tak punya uang Apa susahnya hidup bujangan Setiap hari hanya bernyanyi Tak pernah hatinya bersedih;santai;Bujangan;Koes Plus
Di gunung tinggi 'ku temui Gadis manis putri paman petani Cantik, menarik, menawan hati Diana namanya, manja sekali Waktu aku mengikat janji 'Ku belikan cincin bermata jeli Tapi apa yang 'ku alami? Paman petani marah, 'ku dibenci Diana, Diana, kekasihku Bilang pada orang tuamu Cincin yang bermata jeli itu Tanda cinta, kasih untukmu Waktu aku mengikat janji 'Ku belikan cincin bermata jeli Tapi apa yang 'ku alami? Paman petani marah, 'ku dibenci;bersemangat;Diana;Koes Plus
Bukan lautan hanya kolam susu Kail dan jalan cukup menghidupimu Tiada badai tiada topan kau temui Ikan dan udang menghampiri dirimu Orang bilang tanah kita tanah surge Tongkat kayu dan batu jadi tanaman Orang bilang tanah kita tanah surge Tongkat kayu dan batu jadi tanaman;santai;Kolam Susu;Koes Plus
Menebas terali terkurung api Terlahir telanjang tanpa senjata Meradang meluka dirantai dogma Memanggil badai runtuhkan kekang Berderap serentak tanpa seragam Tak pernah henti berkarat Wouooo ... Kamilah kutukan peradaban Wouooo ... Kamilah suara yang terlupakan Wouooo ... Kamilah bayang sempurna Yang tak pernah kau temukan!;marah;Belati Tuhan;Superman Is Dead
Kadang ku kesal dengan sikapmu Yang s'lalu bertanya mana perhatianku Mungkin kau tak pernah merasakan Apa yang kulakukan di setiap pengorbananku S'lalu jadi yang kaumau Menjaga di setiap saat Tapi kau tak melihatnya Mana ada aku cuek Apalagi nggak mikirin kamu Tiap pagi-malam, ku s'lalu Memikirkan kamu Bukalah pintu hatimu Agar kau tahu isi hatiku Semua perjuanganku Tertuju padamu Mungkin kau Tak pernah merasakan Apa yang kulakukan Di setiap pengorbananku;santai;Cuek;Rizky Febrian
Ketika siapa saja sendirian Berdiam diri tak ada hiburan Jika kau merasakan kesepian Datang kemari kita senang-senang Semua berdiri, waktunya beraksi Penindasan kekerasaan gak jaman Kami datang membawa perdamaian Ciptakan suasana tak terlupakan Lantangkan suaramu dan teriakkan Alunan distorsi, kotak pun beraksi Yang ada di sana, yang ada di sini Semua ikut bernyanyi Hey, yang datang di sini Jangan bikin keki Bikin suasana happy;bersemangat;Beraksi;Kotak
